i j mp formula
2 1 mp-934 LiTl
2 2 mp-934 LiTl
2 3 mp-934 LiTl
3 1 mp-934 LiTl
3 2 mp-934 LiTl
3 3 mp-934 LiTl
4 4 mp-934 LiTl
5 5 mp-934 LiTl
6 6 mp-934 LiTl
1 1 mp-861931 LiPt3
1 2 mp-861931 LiPt3
1 3 mp-861931 LiPt3
2 1 mp-861931 LiPt3
2 2 mp-861931 LiPt3
2 3 mp-861931 LiPt3
3 1 mp-861931 LiPt3
3 2 mp-861931 LiPt3
3 3 mp-861931 LiPt3
4 4 mp-861931 LiPt3
5 5 mp-861931 LiPt3
6 6 mp-861931 LiPt3
1 1 mp-861936 LiPd3
1 2 mp-861936 LiPd3
1 3 mp-861936 LiPd3
2 1 mp-861936 LiPd3
2 2 mp-861936 LiPd3
2 3 mp-861936 LiPd3
3 1 mp-861936 LiPd3
3 2 mp-861936 LiPd3
3 3 mp-861936 LiPd3
4 4 mp-861936 LiPd3
5 5 mp-861936 LiPd3
6 6 mp-861936 LiPd3
1 1 mp-2012 LiHg
1 2 mp-2012 LiHg
1 3 mp-2012 LiHg
2 1 mp-2012 LiHg
2 2 mp-2012 LiHg
2 3 mp-2012 LiHg
3 1 mp-2012 LiHg
3 2 mp-2012 LiHg
3 3 mp-2012 LiHg
4 4 mp-2012 LiHg
5 5 mp-2012 LiHg
6 6 mp-2012 LiHg
1 1 mp-867226 Li3In
1 2 mp-867226 Li3In
1 3 mp-867226 Li3In
2 1 mp-867226 Li3In
2 2 mp-867226 Li3In
2 3 mp-867226 Li3In
3 1 mp-867226 Li3In
3 2 mp-867226 Li3In
3 3 mp-867226 Li3In
4 4 mp-867226 Li3In
5 5 mp-867226 Li3In
6 6 mp-867226 Li3In
1 1 mp-976424 LiLa3
1 2 mp-976424 LiLa3
1 3 mp-976424 LiLa3
2 1 mp-976424 LiLa3
2 2 mp-976424 LiLa3
2 3 mp-976424 LiLa3
3 1 mp-976424 LiLa3
3 2 mp-976424 LiLa3
3 3 mp-976424 LiLa3
4 4 mp-976424 LiLa3
5 5 mp-976424 LiLa3
6 6 mp-976424 LiLa3
1 1 mp-976334 Li3Tc
1 2 mp-976334 Li3Tc
1 3 mp-976334 Li3Tc
2 1 mp-976334 Li3Tc
2 2 mp-976334 Li3Tc
2 3 mp-976334 Li3Tc
3 1 mp-976334 Li3Tc
3 2 mp-976334 Li3Tc
3 3 mp-976334 Li3Tc
4 4 mp-976334 Li3Tc
5 5 mp-976334 Li3Tc
6 6 mp-976334 Li3Tc
1 1 mp-16238 Li2AgSb
1 2 mp-16238 Li2AgSb
1 3 mp-16238 Li2AgSb
2 1 mp-16238 Li2AgSb
2 2 mp-16238 Li2AgSb
2 3 mp-16238 Li2AgSb
3 1 mp-16238 Li2AgSb
3 2 mp-16238 Li2AgSb
3 3 mp-16238 Li2AgSb
4 4 mp-16238 Li2AgSb
5 5 mp-16238 Li2AgSb
6 6 mp-16238 Li2AgSb
1 1 mp-25015 LiMn2O4
1 2 mp-25015 LiMn2O4
1 3 mp-25015 LiMn2O4
2 1 mp-25015 LiMn2O4
2 2 mp-25015 LiMn2O4
2 3 mp-25015 LiMn2O4
